Story Number,Descriptor,Date,Press,Country,Category,Column1
1,"A European geologist, age 22, was killed by Gogo people in a remote region of Dodoma District, Tanzania; the incident was believed to be related to local witchcraft beliefs when geologist found prospecting in a burial ground.",4/12/60,TS,TAN,1,N = 147
3,Police have arrested 56 administrators of Mau Mau type oaths in Kenya. Oathing is partially based on fear of witchcraft if oaths are violated. ,7/11/60,UA,KEN,1,
5,"A man in Paidha, Uganda, ran amok with a machete, killing a woman and seriously injuring two others. He was responding to worries that a witch had killed one of his relatives.",8/27/60,UA,UGA,1,
6,"A tribal chief in Papati, Uganda, was jailed for 18 months after he was caught practicing medicine without a license and for possessing poisons. ",9/3/60,UA,UGA,1,
8,"Two women from Rufiji District, Tanzania, confess to ritual witchcraft murder of 4-year-old boy and sentenced to death by court. Cannibalism reported.",6/8/61,TS,TAN,1,
9,"Nine-year-old boy's body found mutilated in ritual murder believed related to witchcraft in Mwanza District, Tanzania.",7/10/61,EAS,TAN,1,
12,Three Tanzanian women arrested for witchcraft-related murder in Rufiji District. Coven or secret society is suspected. ,11/3/61,TS,TAN,1,
13,"Elderly Kenyan woman dies of gangrene poisoning after informal village court finds her guilty of witchcraft and has her toes, legs and head bound with tight ropes in traditional Elgeyo punishment.",3/9/62,DN,KEN,1,
14,"Mob kills three elderly women with sticks, spears and knives in Maswa District, Tanzania, for alleged witchcraft.",5/26/62,TS,TAN,1,
15,Tanzania police disperse mob of 500 with smoke grenades and rescue two Dar es Salaam women accused of witchcraft.,6/12/62,DN,TAN,1,
20,"Two Tanzanian men are tried and imprisoned for claiming witchcraft powers, using witchcraft instruments for detection, and accusing two women of being witches.",8/18/62,TS,TAN,1,
21,"During a murder trial in Kisii District, Kenya, the father of one defendant was discovered outside the courtroom blowing powder through the window at the  magistrate and assessors. He was arrested, tried and sentenced to six months for possession of witchcraft articles.",8/29/62,EAS,KEN,1,
22,"Mob killing of four women for witchcraft leads to arrest of 409 people in Mwanza District, Tanzania. Later 32 charged in court. Musoma town diviner allegedly blamed the four women for several child deaths.",9/23/62,TS,TAN,1,
23,"Police save an old woman from armed mob of 200 following seventh murder in continuing wave of witchcraft killings in Mwanza and Musoma Districts, Tanzania.",10/10/62,TS,TAN,1,
24,"Three Tanzanian women from a Rufiji District murder trial sign confessions which state, ""Stupefaction of the man was made so he would die and his body would be used to make medicine."" Each found guilty of witchcraft violations and given a 14-year sentence.",10/21/62,SN,TAN,1,
30,"Three ""student witches"" in Rufiji District, Tanzania, are sentenced to death for 1961 ritual murder of a woman. The case involved recruitment to a group and making medicines from human body parts. Appeal rejected, but President commutes sentence to life.",5/10/63,TS,TAN,1,
32,"A Ugandan, charged with murdering the wife of a healer he was seeing to rid himself of witchcraft, refuses to speak during his own trial.",7/1/63,UA,UGA,1,
33,A 16-year-old Kenyan found guilty of murdering five of his family members; he stated he was bewitched and under threat for his own life.,7/5/63,EAS,KEN,1,
35,"Death sentence imposed on four Tanzanians for 1962 mob murder of Mwanza ""witch"" is overturned on grounds they called headman to prevent violence.",8/20/63,DN,TAN,1,
39,"Kenyan Member of Parliament, M. Jahazi, introduces bill for nationwide investigation of witchcraft.",11/27/63,DN,KEN,1,
40,"Man fined in Kisumu, Kenya, for pretending to practice witchcraft and having the ability to trace cattle thieves. In a mass ceremony he invited 100 to ""tea"" and when 20 fell ill he refused to give the antidote until they paid with a cow.",12/4/63,EAS,KEN,1,
41,"In Nairobi, a man confessed to killing his father who allegedly used witchcraft against him and made him ill for ten years.",12/21/63,EAS,KEN,1,
42,"A Nandi tribesman, alleged to have been a witch practitioner, is stabbed to death at Muthangare, Kenya.",2/1/64,EAS,KEN,1,
44,"Twelve Kenyan men in Nakuru tried for the attempted murder of a woman they believed a ""witch"" had cast a spell on, causing her to kill another woman. The men first attempted to burn the woman in a sack and then tied grass to her hair to be burned. She escaped.",2/8/64,EAS,KEN,1,
46,A Ugandan who allegedly hired three men to kill his grandparents is acquitted in court.,2/25/64,UA,UGA,1,
47,"Tanzanian Regional Commissioner in Singida appeals for public cooperation in stamping out the ""prevalent"" activities of ""lion men"" who are again causing unrest and fear. Assassinations by ""lion men"" in 1947 led to several hangings.",3/3/64,TS,TAN,1,
50,A Kenyan male in Kilifi District kills his brother after a drinking party quarrel and allegations of witchcraft.,3/23/64,EAS,KEN,1,
65,"In Dar es Salaam, a Tanzanian who attacked another with a panga (machete) and blamed ""the devil within him"" for the incident is sentenced to 9 months in prison.",11/24/64,TZ,TAN,1,
66,"Two women in Kampala, Uganda, who scattered medicines on a magistrate's chair to make him dismiss a court case against their relative, pleaded guilty to practicing witchcraft and are fined.",12/1/64,DN,UGA,1,
75,"In Rufiji, Tanzania, a witch trial testimony indicates that a ""coven"" of witches asked a new recruit to offer a victim. The recruit's husband was selected, stupefied with medicines and murdered with a spear. Defendant declares she is ""expert in exorcising devils.""",8/13/65,TS,TAN,1,
77,"Three women from Rufiji, Tanzania, alleged by the prosecution to have been witches and to have murdered a man for human sacrifice, were sentenced to death by hanging. The murdered victim was the husband of one of the women.",12/13/65,LT,TAN,1,
85,"Second major witchcraft case in two years in Rufiji District, Tanzania, involves the ritual murder of a 12-year-old boy. Six women are cleared of charges; two others, the boy's grandmother and aunt, found guilty and sentenced to hang.",5/21/66,EAS,TAN,1,
94,Man suspected of stopping the rains and practicing witchcraft is bound with ropes and carried across the Tanzanian border with Burundi and left abandoned in the bush. Seven charged with attempted murder.,2/18/67,TS,TAN,1,
97,"Man pleads guilty to murder under influence of witchcraft, which included killing members of his own family.",8/14/67,TS,TAN,1,
100,"Twelve women and a man were arrested in Rifiji District, Tanzania, after an old woman disappeared, a believed killing for ""witchcraft"" medicines.",4/29/68,TS,TAN,1,
103,"In Mtwara, Tanzania, person who allegedly cut flesh from the corpse of a woman killed by lion is jailed pending investigation for witchcraft.",9/19/68,TN,TAN,1,
108,"Belief that ""mumianis"" (people that kill to get blood to sell) are operating hinders Arusha police in investigating three murders.",7/8/69,TS,TAN,1,
115,Murder suspect claims evil spirits possessed him while killing women.,12/30/69,TS,TAN,1,
117,"Over 200 people, including children and elderly, suspected of practicing witchcraft given drug by healer for cleansing. Nine hospitalized.",2/11/70,TS,TAN,1,
118,Masasi woman charged with four offences of witchcraft for statements or actions linked to the practice of witchcraft.,5/8/70,TS,TAN,1,
122,"Thirty-two-year-old Mwanza, Tanzania, resident loses appeal against conviction and death sentence. He admits killing his grandparents with a large stone after being told by a witchdoctor that the elders had killed his child by witchcraft.",10/23/70,KS,TAN,1,
125,Old woman killed by mob after she is accused of witchcraft at a funeral on the Kenya coast.,11/11/70,DN,KEN,1,
129,Ugandan male charged with hiring three men to kill his grandparents because they were allegedly bewitching his brother. He was acquitted in the high court.,2/25/71,UA,UGA,1,
136,"Witchfinder in Mbamba Bay, Tanzania, charged with assault after administering cuts to a suspected witch in a public cleansing ceremony. Jailed for two years.",9/16/71,TT,TAN,1,
154,Two Ugandan army men sentenced to death for murdering two villagers who were accused locally of witchcraft. Soldiers burned the victims alive.,11/19/73,DN,UGA,1,
173,"Five women in Rufiji, Tanzania, ages 60-70, charged in court with practicing ""witchcraft"" on a woman, hypnotizing and taking her to the bush. One pleaded guilty; case unrelated to early Rufiji murders.",12/5/74,DN,TAN,1,
174,"65-year-old man jailed after admitting to practicing ""witchcraft."" Previously expelled from home by siblings for ""witchcraft"" activity, convicted of arson, and charged with ""intolerable behavior"" by neighbors. Found with ""witchcraft gadget.""",12/17/74,DN,KEN,1,
175,"Ugandan soldier in Teso District, serving as administrative chief, instructs villagers to flog an old man for witchcraft. This leads to a mob beating and the death of the old man.",1/1/75,VU,UGA,1,
178,"In Mwanza, Tanzania, a man and wife are murdered on suspicion of practicing witchcraft. Five people are arrested.",4/12/75,DN,TAN,1,
181,"Mr. Kahindi Kalinga of Malindi, Kenya, imprisoned for two years for practicing ""witchcraft"" and creating fear in the minds of others.",6/5/75,KS,KEN,1,
212,"12-year-old girl in Taita arrested for illegal possession of charms and ""substance wrapped in rags;"" she admits plan to ""bewitch elder sister and kill other family members, including her father, because he was drinking too much."" She was sent to special school until she reaches 18.",10/30/76,DN,KEN,1,
225,"Man who claimed to be a ""witchdoctor"" in Embu District, Kenya, is stoned to death after allegedly killing another man by poisoning his traditional liquor.",9/10/77,DN,KEN,1,
233,"Two suspected witchcraft practitioners stoned to death by angry mob in Kapenguria trading center, Kenya.",3/11/78,KS,KEN,1,
235,"A man suspected of witchcraft was stoned to death by angry neighbors in Kapenguria, Kenya.",4/13/78,KS,KEN,1,
252,"In murder case of a European businessman near Malindi, Kenya, local ""witchdoctor"" gives evidence that one of the four accused came to him for a ""cleansing"" ritual.",2/5/80,DN,Kenya,1,
255,"Seven traders in Mbeya,Tanzania, accused of witchcraft-related murder of seven-year-old girl in the belief the use of her body parts would allow them to get rich quickly.",4/17/80,DN,TAN,1,
268,"Man murdered by his son, who believed his father had bewitched him, in Kilifi District, Kenya.",6/1/81,KS,KEN,1,
272,"Man who ""pretended to exercise witchcraft so as to cause fear or annoyance to members of the public"" is jailed for eight months in Lodwar, Kenya.",7/24/81,DN,KEN,1,
277,"Former policeman killed by mob in Pokot District, Kenya, during village-wide hunt for witches; others tortured, suspects fled.",1/25/82,DN,KEN,1,
278,"Angry mobs stoned three suspected witches to death; four others injured in Mbeya, Tanzania.",1/27/82,DN,TAN,1,
292,"Five people allegedly practicing witchcraft and terrorizing villagers in Kilifi, Kenya, arrested in police dragnet. Witchfinder Kajiwe reported to assist police.",5/25/84,DN,KEN,1,
305,"A ""witchdoctor"" is beaten to death by villagers after he is accused of raping a patient he was attending in Baringo District, Kenya.",6/3/85,DN,KEN,1,
310,"Angry villagers kill 74-year-old man in Kericho for suspected witchcraft. Village ""court"" initially banished the man, but during the burning of his five homes and granaries he is beaten to death.",10/13/85,KS,KEN,1,
317,Six young Tanzanian militiamen fined in Singida District for wounding an elderly couple they suspected of witchcraft. Vigilante-style case deplored by court.,1/8/86,TN,TAN,1,
324,Mob kills man suspected of practicing witchcraft in Kisii District. KANU youthwingers used by administrative chief to initially search for the suspect.,7/11/86,DN,KEN,1,
326,"A Uganda mob killed twelve people, eight from one family they believed to be practicing witchcraft in western Uganda.",11/2/86,DN,UGA,1,
